desc,Price,Currency,Category,Address,Bed_Rooms,Washroom,SKU,Image,Product_url
"Disponible immédiatement. Aires communes à aires ouvertes. Armoires nombreuses à la cuisine. Chambre principale spacieuse avec walk-in. Salle de bains équipée d'un bain profond avec assise. Galerie avant, encastrés aux soffites, grande cour avec un grand patio.",120000,CAD,Maison à vendre,"56, Rue des Pommiers,Lebel-sur-Quévillon",3,2,22161191,https://mspublic.centris.ca/media.ashx?id=ADDD250D29332FED1E44040D1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/22161191?view=Summary
"Belle maison bien entretenue située près de tout. 3 chambres au RDC, idéal pour une famille. Une grande cour clôturée, prête pour tous les projets. Libre rapidement si désiré",120000,CAD,Maison à vendre,"67, Rue des Saules,Lebel-sur-Quévillon",4,1,22489621,https://mspublic.centris.ca/media.ashx?id=ADDD250D2618613D1E0481ED1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/22489621?view=Summary
"Belle propriété sur le bord du Lac Chibougamau, secteur enchanteur à 20 minutes du centre ville. Vue sur le lac, 3 chambres, grand terrain avec garage double, plan de propriété disponible, 2e propriétaire seulement. C'est à voir!!",385000,CAD,Maison à vendre,"112, Chemin du Domaine-Rustique,Chibougamau",3,1,14812889,https://mspublic.centris.ca/media.ashx?id=ADDD250D2691061DD54DA3FD1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/14812889?view=Summary
"Maison de 1995 très bien entretenue, toiture refaite 2018, un seul propriétaire. Bien située, près du centre-ville et des écoles. Grande garage avec mur en bloc de béton jusqu'à la toiture, possibilité d'y entreposer bateau ou roulotte de voyage.",220000,CAD,Maison à vendre,"533, 1re Rue,Chibougamau",2,1,10373997,https://mspublic.centris.ca/media.ashx?id=ADDD250D23311A8DDF5C9A3D1D&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/10373997?view=Summary
Jolie maison sur un grand terrain près de tout. Elle offre une belle luminosité et des pièces de bonne dimension. Au sous-sol la salle de bains est attenante à la chambre à coucher. Un très grand balcon sur lequel est installé une table de 8 places fait à la main fera le bonheur de tous!! Terminez la soirée autour du feu.,160000,CAD,Maison à vendre,"60, Rue des Saules,Lebel-sur-Quévillon",4,2,13943853,https://mspublic.centris.ca/media.ashx?id=ADDD250D2E5E3ADDD3C7C43D12&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/13943853?view=Summary
"Ayez votre propre chez soi au prix d'un loyer. Belle maison unimodulaire au goût du jour avec 3 grandes chambres à coucher et une salle de lavage en prime.Une visite s'impose, qu'attendez-vous ? Contactez-moi !",92000,CAD,Maison mobile à vendre,"96, Place  J.-E.-Rivest,Lebel-sur-Quévillon",3,1,10470491,https://mspublic.centris.ca/media.ashx?id=ADDD250D291B103DDF67CE9D1F&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison-mobile~a-vendre~lebel-sur-quevillon/10470491?view=Summary
"Grande maison de 5 chambres, garage et sans voisin arrière. Drain français refait et membrane neuf en 2019, cette maison bien entretenue est vendu avec beaucoup d'inclus. Faites vites demander votre visite!",250000,CAD,Maison à vendre,"545, Rue  Bordeleau,Chibougamau",4,2,20299912,https://mspublic.centris.ca/media.ashx?id=ADDD250D2690E0ED12E7DBBD1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/20299912?view=Summary
"PROPRIÉTÉ UNIQUE avec beaucoup de potentiel située sur un grand terrain. Maison construite avec des matériaux de qualité. Finition extérieure en granite. Foyer au bois au salon et au sous-sol. cette propriété possède 6 chambres à coucher,1 sdb et 3 salles d'eau. Grande cour arrière pour pratiquer vos activités préférées en famille ou entre amis. Contactez-moi pour une visite!",99000,CAD,Maison à vendre,"59, Rue des Ormes,Lebel-sur-Quévillon",6,4,25469715,https://mspublic.centris.ca/media.ashx?id=ADDD250D2678044D1BC8212D12&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/25469715?view=Summary
"Jolie maison mobile située à quelques pas du centre-ville, 3 chambres avec remise et cour clôturée. Vous pouvez être propriétaire pour le prix d'un logement. Pour plus d'infos, contactez Lynda Desgagné au 418-770-9038.",101500,CAD,Maison mobile à vendre,"71, 7e Rue Est,Chibougamau",3,1,22745633,https://mspublic.centris.ca/media.ashx?id=ADDD250D235A3C7D1E91441D10&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison-mobile~a-vendre~chibougamau/22745633?view=Summary
Maison bien située avec un bon potentiel. Donnez lui de l'amour pour avoir la maison de vos rêves!! La cour offre un grand patio et deux grandes remises sur grand terrain entouré de haies de cèdres.,105000,CAD,Maison à vendre,"79, Rue des Pommiers,Lebel-sur-Quévillon",3,2,28469025,https://mspublic.centris.ca/media.ashx?id=ADDD250D2311F81D194A041D12&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/28469025?view=Summary
"Vous serez surpris par la grandeur de ce jumelé situé au coeur de la ville, en face de l'école primaire. Vous y trouverez 4 chambres à coucher,dont 3 sur le même étage, 2 salons, et 2 salles de bain. Une grande cour clôturée pour plus d'intimité. Une visite et vous tomberez sous son charme !",150000,CAD,Maison à vendre,"129, Rue  Principale Sud,Lebel-sur-Quévillon",4,3,17677830,https://mspublic.centris.ca/media.ashx?id=ADDD250D2813928D1D395DAD1F&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/17677830?view=Summary
"Pour bricoleur, près des écoles avec 3 chambres à couchers. Appelez-moi pour une visite. Jean-François 418-770-5211",79500,CAD,Maison à vendre,"60, 7e Rue,Chapais",3,1,16208676,https://mspublic.centris.ca/media.ashx?id=ADDD250D248F393DD60E24CD1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chapais/16208676?view=Summary
"Très grande maison avec 5 chambres, beaucoup de rangement, portes extérieur neuves, plomberie refait, couvre-plancher neuf des chambres et salle de bains au sous-sol. Grand terrain clôturé. A voir !",126500,CAD,Maison à vendre,"14, 1re Avenue,Chapais",5,2,11701138,https://mspublic.centris.ca/media.ashx?id=ADDD250D2356EDCDD94B9F4D1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chapais/11701138?view=Summary
"Tout près des école, du parc et du centre ville. Bien entretenue et améliorée au fil des ans. La maison est construite sur un coin de rue et sa façade donne sur la ruelle. Un beau balcon en composite recouvert a été installé dans les dernières années. C'est une maison idéale pour une famille et DISPONIBLE IMMÉDIATEMENT. À qui la chance?",130000,CAD,Maison à vendre,"61, Rue des Sapins,Lebel-sur-Quévillon",4,2,18587736,https://mspublic.centris.ca/media.ashx?id=ADDD250D27B9654D1198DEBD10&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/18587736?view=Summary
"À vendre à Matagami à prix abordable. Cette propriété possède 2 chambres à coucher. Elle est située dans un quartier tranquille à proximité de l'école primaire, d'un parc et de la rivière Bell. Idéale pour une petite famille ou pour une première maison. Il y a aussi un garage qui possède l'électricité et un foyer à bois qui permet de le chauffer.",66000,CAD,Maison à vendre,"12, Rue  Daniel,Matagami",2,1,26220925,https://mspublic.centris.ca/media.ashx?id=ADDD250D27AEB55D1FD1F03D1C&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~matagami/26220925?view=Summary
"Maison unifamiliale avec logement au sous-sol. Tous deux offrent deux chambres de bonne dimension et des espaces de vie agréables. Vous aurez aussi une grande cour, un garage et un grand stationnement double largeur.",149500,CAD,Maison à vendre,"73, Rue des Pommiers,Lebel-sur-Quévillon",4,2,26383034,https://mspublic.centris.ca/media.ashx?id=ADDD250D23EE7EED1F4F498D1C&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/26383034?view=Summary
"Superbe maison mobile de 2 grandes chambres. Plusieurs rénovations au cours des dernières années: cuisine, salle de bains, plomberie, électricité, toiture, portes, fenêtres et plus encore! Info.: Lynda Desgagné 418-770-9038",79900,CAD,Maison mobile à vendre,"1209, 12e Rue,Chibougamau",2,1,19573854,https://mspublic.centris.ca/media.ashx?id=ADDD250D261FD4ED14887E5D1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison-mobile~a-vendre~chibougamau/19573854?view=Summary
,169500,CAD,Maison à vendre,"62, 7e Rue,Chapais",3,2,10276559,https://mspublic.centris.ca/media.ashx?id=ADDD250D2330C79DDF77576D1C&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chapais/10276559?view=Summary
"Terre de 100 acres boisés incluant une petite maison de 1 étage et demi comprenant 3 chambres à coucher, garage ainsi qu'un camp de chasse construit en 2013. Le tout, situé à 20 minutes de La Sarre.",130000,CAD,Maison à vendre,"2456, Chemin des 8e-et-9e-Rangs,Eeyou Istchee Baie-James (Valcanton),Quartier Val-Paradis",3,2,18013422,https://mspublic.centris.ca/media.ashx?id=ADDD250D27AD841D1143755D10&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~eeyou-istchee-baie-james-valcanton/18013422?view=Summary
"Jolie Jumelée de 5 chambres prêt pour accueillir votre grande famille à petit budget. Possibilité d'une autre salle de bain au sous-sol. Grand patio extérieur pour profiter du soleil et s'amuser. Grand salon, belle salle à manger. Un beau petit chez vous ou il fait bon vivre! Serez-vous le prochain à en bénéficier ?",74000,CAD,Maison à vendre,"96, Rue des Épinettes,Lebel-sur-Quévillon",5,2,26403122,https://mspublic.centris.ca/media.ashx?id=ADDD250D298E3B6D1F45124D1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/26403122?view=Summary
"Jolie chalet 4 saisons offrant 2 chambres à coucher et 1 S-de-B sur grand terrain intime avec vue sur le lac Pajegasque et installation septique conforme. Le chalet a été rénové de fond en comble depuis 2009, il ne reste que quelques travaux de finition à terminer et l'installation d'un système d'approvisionnement en eau potable. À qui la chance!",115000,CAD,Maison à vendre,"79, Chemin du Lac-Pajegasque,Eeyou Istchee Baie-James (Valcanton),Quartier Beaucanton",2,1,25524929,https://mspublic.centris.ca/media.ashx?id=ADDD250D25CCB0FD1BE0871D1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~eeyou-istchee-baie-james-valcanton/25524929?view=Summary
Propriété très bien entretenue et cour arrière privée sans voisin. Elle possède 4 chambres à coucher et 2 salles de bains complètes. Vous découvrirez sa salle familiale vintage au sous-sol. Un bel espace de vie pour toute la famillle. Une visite et vous tomberez sous son charme !,130000,CAD,Maison à vendre,"95, Rue des Sapins,Lebel-sur-Quévillon",4,2,24994226,https://mspublic.centris.ca/media.ashx?id=ADDD250D26FD4BCD103A194D10&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/24994226?view=Summary
"Maison de 2 logements avec revenus ou propriétaire occupant et un logement en location, idéal pour premier achat. Cour clôturée, avec garage et très près du centre-ville. Contactez Lynda Desgagné au 418-770-9038 pour plus d'informations.",229500,CAD,Duplex à vendre,"410 - 412, 1re Rue,Chibougamau",2,1,18616523,https://mspublic.centris.ca/media.ashx?id=ADDD250D2635B15D1171D79D1F&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/duplex~a-vendre~chibougamau/18616523?view=Summary
"Vente rapide!!! Maison solide près des écoles. Idéale pour une grande famille ou encore des travailleurs. Elle est grande, lumineuse et à un super potentiel.",100000,CAD,Maison à vendre,"62, Rue des Sapins,Lebel-sur-Quévillon",5,2,19519593,https://mspublic.centris.ca/media.ashx?id=ADDD250D2B9FE22D14F3BAFD1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/19519593?view=Summary
Maison à un étage et demi vous offrant 5 chambres à coucher et beaucoup de rangement. Les deux entrées pour la maison ont un garde-robe pour vous débarrasser en entrant. La maison a été entretenue et des travaux ont été effectués au fil des ans. La toiture est en aluminium et garantie 50 ans.,235000,CAD,Maison à vendre,"115, Rue des Peupliers,Lebel-sur-Quévillon",5,3,12452814,https://mspublic.centris.ca/media.ashx?id=ADDD250D2787194DD95D275D1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/12452814?view=Summary
